imdbid,videoid,description
tt1540011,Tazw08OZpwU,Peter helps his girlfriend Ashley tend to her infected wound.
tt1540011,37O1H9YiBJo,"The crew runs into Lane and Talia, who believe like they've been lost for days."
tt1540011,5XZcn9qR5SE,Lisa runs into the Parr house to find her friends and comes across a crazed Lane.
tt1540011,UP6UWl1Y1-Q,Talia describes the history of the Blair Witch while the crew camps out in the Black Hills Forest.
tt1540011,pVqOcGEbZvo,Lisa is attacked by a crazed Lane before being chased through the house by the Witch.
tt1540011,LJ8UoUA2_uE,Lisa and James are cornered by the Blair Witch.
tt1540011,wyHOKleZzFM,"After waking up to find an eerie omen hanging above their camp ground, Ashley finally breaks and accuses Talia of being behind it all."
tt1540011,sf2RRCNlz38,Lisa climbs her way through a small tunnel with the Witch following close behind.
tt1540011,bmBh8DSdcnU,James runs into the Parr home to find his sister.
tt1540011,e80zdJ6pWlI,"Lost, tired and injured, Ashley attempts to free a drone camera from being stuck in a tree."
tt2660888,HYctFVhe2Rc,"Kirk, Spock, and McCoy go after Krall before he can destroy Yorktown."
tt2660888,5PaUTnk9k9Y,"Scotty and the crew use ""classical music"" by the Beastie Boys to destroy the enemy."
tt2660888,qu68Gym5PvE,Kirk must make the choice to rescue Jaylah or get back to the ship safely.
tt2660888,e5LZR3vCkzo,"Kirk, Jaylah, and the crew stage a diversion to allow Scotty to beam up the crew."
tt2660888,Q4KRYWe3ngs,Scotty comes across a group of bloodthirsty scavengers after crash landing on an alien planet but is rescued by Jaylah.
tt2660888,mtsQ0CR4Z28,Krall cuts the Enterprise in half in order to stop Kirk and his crew from escaping.
tt2660888,ssgm3-sCY-Y,Kirk orders his crew to abandon ship before its inevitable destruction.
tt2660888,Ff20ZDSj7d8,Krall and Kirk come face to face after Krall attempts to kill the citizens of Yorktown.
tt2660888,YRpgfi7L9Rs,Kirk tries to make piece with a warrior race of aliens.
tt2660888,nvldRH4OC_k,Kirk and Chekov rush to escape from Kalara and her men.
tt0078346,2AmY_TaUh8M,Clark decides to show off his powers a bit after a fellow student interrupts his chances with Lana Lang.
tt0078346,bfKu5Jc8TjA,Superman rescues Lois when she falls out of a helicopter.
tt0078346,YwnX8My7428,"With planet Krypton moments away from total annihilation, Jor-El ensures that his son escapes in a specially constructed spacecraft."
tt0078346,ju9K6nk07iE,Lois Lane is totally enrapt with Superman as she flies in the sky with him under the pale moonlight.
tt0078346,Ov6nBKuu6pI,"Miss Teschmacher saves Superman, who flies directly to the offending missile and changes its course."
tt0078346,TZyl-21DgPo,"After tricking Superman into opening a case containing Kryptonite, Lex Luthor throws him into a swimming pool and leaves him for dead."
tt0078346,LoCaeI5RffI,A grief-stricken Superman literally turns back time in order to save Lois.
tt0078346,nprJvYKz3QQ,Clark saves Lois by catching a bullet with his hand.
tt0078346,3gSOZW-vNFk,"Superman races across the sky to save Lois, but it's too late."
tt0078346,3oIQCt6GVcY,Superman does his best to fix the damage that the second missile did after hitting California's San Andreas Fault.
tt0114069,CRjB5ImoHXk,"After making an antidote to the virus, Sam and Major Salt decide to fly in the path of the bomber that is preparing to destroy the town of Cedar Creek."
tt0114069,HaK75RHhEEw,"After hearing that the Motaba virus has appeared California, Sam asks General Billy Ford why they aren't doing anything about it."
tt0114069,Z6cRw6CU7l0,Sam and Major Salt capture the host animal with the help a family whose daughter has befriended it.
tt0114069,MZq_z08pLqI,"After capturing the host animal and heading back towards Cedar Creek, Sam and Major Salt are confronted by Maj. Gen. Donald McClintock."
tt0114069,pW-ZHlM3RxI,"After finding out he has been taken off the Motaba virus case, Sam Daniels confronts General Billy Ford."
tt0114069,HRkSVkOdXcU,"While investigating a massive Motaba outbreak in a California town, Sam brings the news to General Ford that the virus has mutated."
tt0092710,a2H-pXAgx6s,"Bernice chases down Carson, a wanted murderer, and the two get into a fight."
tt0092710,ZUmTlIUmbmE,"Detectives Nyswander and Todras attempt to arrest Bernice, but have trouble with the front door."
tt0092710,76dXe1ePSrQ,Detective Nyswander attempts to question Carl Hefler.
tt0092710,MnosttqGIfw,Bernice and her friend Frankie confront Carson about the people he killed.
tt0092710,PjPEnXNEX_E,"While taking her time robbing an apartment, Bernice panics when the owner comes home with a date."
tt0092710,a3GgzkKvBVY,Bernice catches a customer stealing books from her store.
tt0092710,SBIpGdJA_5Q,Carl pretends to be package delivery man in hopes of getting the real name of a bartender.
tt0092710,_bUaFRyP80A,"Bernice cons her way into the apartment of K.E. Graybow, a man she suspects is a killer."
tt0092710,-DXQJLwDAwg,Professional thief Bernice meets Dr. Cynthia Sheldrake for a possible job.
tt0102526,T4wxOGDv980,Nino makes his case in court and ends up getting a light sentence.
tt0102526,RQUwqHaBuOk,"After the Carter fiasco, Nino takes his anger out on Kareem and threatens Gee Money."
tt0102526,3jYu-qta0mU,A hit is put out on Nino Brown after a wedding celebration
tt0102526,b6WK3MwYFSk,Scotty Appleton meets Pookie and sees the horrors of the crack epidemic firsthand.
tt0102526,D6OAWdqi-s0,Peretti and Appleton surveil Nino Brown and a stick-up kid named Pookie.
tt0102526,4dNwoRFjOkQ,The Old man is fed up with what Nino Brown is doing to the community.
tt0102526,7SybWD4iYMA,"When Scotty's cover is blown, the cops and the gangsters hunt each other through a factory."
tt0102526,wstckFfu1z4,Scotty and Nick capture Nino and give him some of his own medicine in front of the neighborhood.
tt0102526,taGt2UqFdm0,"Nino Brown reveals his plan to take over ""The Carter"" apartments and turn them into a crack production facility."
tt0102526,K4lTsRzlorA,"Nino and Gee Money try to pick up the pieces, but it is too late for reconciliation."
tt0106455,_3v30bJGaCg,"Jimmy and his partner, Brady, are in the middle of an undercover operation when a fellow officer gets killed."
tt0106455,ExvYKH9z-9A,Jimmy and Brady try to get information out of a lawyer who made a bad deal with a few killers.
tt0106455,ku4GcEUQ0TA,"After con man Red is arrested after a shooting, he agrees to help officers Mercer and Brady catch his violent partner Ronnie."
tt0106455,b4kRHpvisxE,Ronnie tries to sell a large amount of counterfeit money to a very successful lawyer who does illegal dealings on the side.
tt0106455,OTp5qNMBuRY,Ronnie meets up with man who is going to buy counterfeit bills from him.
tt0106455,K0QjNiVA6NU,Red tries to get himself more time to pay back a debt to mobster Tony Dio.
tt0106455,LunIbcmUQtE,"Red and his trigger happy partner, Ronnie, kill the man Red owed tons of money to while Jimmy and Brady rush to arrest them."
tt0106455,lx420G7IDnE,Officer Mercer tries to get a counterfeiter he arrested to snitch on his clients.
tt2404233,fZrN9LabLQQ,"After Bek steals back Horus's eye from Set he is nearly thrown off the obelisk; leaving Horus to chose between saving his companion, or recovering the eye that would restore his power."
tt2404233,X_4WgfjyOyg,Bek breaks into Set's treasure vault to steal Horus's eye.
tt2404233,VJW2e8_cIfw,"Horus battles Set to avenge his father's murder, and take back the throne."
tt2404233,dp2MR9fswWk,"Horus, Bek and Hathor visit Thoth, the God of Wisdom, for help."
tt2404233,r9ae_frgcpU,Set uses Horus's coronation as an opportunity to seize the throne from his family.
tt2404233,uOHMPcGgInI,Bek and Horus fight off two goddesses armed with giant snakes with help from Horus's ex-lover Hathor.
tt2404233,TfbuiIc3pME,Horus and Set battle in their divine forms for the fate of mankind.
tt2404233,fKpKz3dysY0,Set denies Ra's wish and seeks immortality by destroying creation.
tt2404233,kDDU-k-5v6s,Mnevis and his soldiers ambush Bek and try to reclaim Horus's eye for Set.
tt2404233,CUYNZo-8cDM,Thoth tries to solve the Sphinx's riddle before the group is killed.
tt2404233,89OqkIyNnfQ,Bek fights Urshu while Horus tries to stop Set from destroying the world.
tt0104265,GewQTlvA_3Y,Isaac meets with his patient Diana who reveals that she has purchased a gun.
tt0104265,tVubEM2oUj4,"Isaac and Heather realize they are in love, even though she is married."
tt0104265,tr2hYRUEkHk,Dr. Isaac Barr meets Heather Evans and is immediately smitten.
tt0104265,SriHCm7dhyw,Isaac asks Heather why she involved him in a plot to kill her husband.
tt0104265,RxLb-Iqyqps,Isaac meets with Diana who has an improved confidence.
tt0104265,Tvmzk3Ce8-s,Isaac meets Heather's criminal husband Jimmy who thinks he is a federal agent.
tt3110958,OxLmmTv6CTs,"While the Horsemen learn more about how The Eye works, Thaddeus leaves The Eye to Dylan."
tt3110958,DQU7X4QDX80,"While Atlas controls the rain and Jack does card tricks, Merritt reveals their final act to his brother."
tt3110958,LoG_2u-0rWo,Dylan creates a distraction so Atlas can get away with the stick.
tt3110958,Dr6eV4y0atg,Merritt and his twin brother Chase taunt each other and Jack fails to hypnotize Chase.
tt3110958,CWS1CWSAmjs,"In the middle of their presentation intended to bring down the Octa CEO, the Horsemen find themselves exposed by a mysterious presence on stage."
tt3110958,vRUQ_q5mivc,"After throwing the Four Horsemen out of a plane, Walter and Arthur are surprised to find out that they were tricked."
tt3110958,3IVugy6dK3E,The Horsemen succeed in getting the chip through the metal detector and out of the laboratory.
tt3110958,KEc0SGkBDJ4,Atlas finds a strange woman in his apartment.
tt3110958,_uwVIMdk7hc,Walter explains to the Horsemen who he is and why he kidnapped them.
tt3110958,5ve2E8iEbSQ,The Four Horsemen create an elaborate ruse in order to hypnotize Octa owner Owen Case.
tt3110958,YmGBAiHnK0U,The Horsemen work together to hide the playing card with the chip while security searches them.
tt0101984,4N-rVUkv-lw,"David and Ruth have dinner with Dorothy, an actress whose life was ruined by the House Committee on Un-American Activities."
tt0101984,nA3-p6SeWtc,David gets fired while he is in the middle of filming a movie.
tt0101984,XlS3PKbK2Wc,David decides to stand up for what is right while being questioned by the House Committee on Un-American Activities.
tt0101984,Qdgk7Q1dn34,David is hired to direct a film that has already started filming.
tt0101984,oNySP0X32eI,David is questioned about his wife and friends by the House Committee on Un-American Activities.
tt0101984,AeM2PgL5hm0,"David Merrill visits Larry, a fellow filmmaker, and discovers he sold out his friends to the House Committee on Un-American Activities."
tt0101984,F67qzjMABFQ,David meets with two lawyers who inform him about the House Committee on Un-American Activities.
tt0101984,Wn73_KG11Wo,The House Committee on Un-American Activities attempts to get Larry Nolan to name which of his friends are members of the Communist party.
tt0101984,3ND0jZIthFo,"After finding out that the House Committee on Un-American Activities might call on him, Baxter gets into a fight with David."
tt1411697,xe6kO-SJYCk,Alan gives an uncomfortable toast at Stu's wedding.
tt1411697,Fb1v9LGaZ1w,The guys seek information about Teddy from some angry and unhelpful monks.
tt1411697,yxOMkjGIZYI,"Just as he's about to recount last night's events, Chow dies after snorting cocaine."
tt1411697,kgd0wuSVHXo,"Stu struggles with the fact that he had sex with a transvestite. Then, Phil gets shot by a gang of criminals seeking their monkey."
tt1411697,b_SJOg2q3PM,Stu and the guys try to steal their monkey back while Chow drives through Bangkok in a crazy car chase.
tt1411697,D0yfau4bAXM,"Kingsley tricks the guys into believing he has Teddy, only to arrest Chow and leave them hanging."
tt1119646,XMt98-MEWmw,The guys check into Caesar's Palace and Phil decides they should rent a villa.
tt1119646,daULewxdD8w,Stu lets his controlling girlfriend boss him around while he packs for the trip.
tt1119646,JZCM0ZW-GMw,"As a punishment for stealing a cop car, Stu, Alan, and Phil must participate in a stun gun demonstration."
tt1119646,Hl1mw0-APy8,"When the guys gather on the roof to make a toast, Alan gives a heartfelt speech."
tt1119646,G-lDaFtb7eE,"Stu, Phil, and Alan return to their hotel room and find Mike Tyson waiting for them."
tt1119646,h4Zho4DUcXw,The guys wake up to find their hotel room in shambles and a tiger in the bathroom.
tt1119646,znjpkKX6bek,Stu discovers that he got married while blacked out.
tt1119646,DdNfSuTpDbA,Stu feeds the tiger a drugged piece of meat and then sings a song.
tt1119646,sIbYUg1FKK4,"During the wedding singer's inappropriate song, Stu breaks up with Melissa."
tt1119646,u_6tnXDfxBo,"When the guys go to pick up their friend in the desert, Mr. Chow gives them the wrong Doug."
tt5052474,AUbfGwY4Fco,Matt tries a less-than-conventional technique to squeeze the truth from a Somali pirate.
tt5052474,ch_JeDyNaFM,Matt and Alejandro are taken by surprise when the police escorting suddenly attack.
tt5052474,HXubLg3o3qY,Matt brings Alejandro into the fold on a war against the cartel.
tt5052474,eMyuRmZNaTk,Alejandro deals with the remaining sicario after nearly being assassinated.
tt5052474,YOUt-qq-snc,A team of soldier raid the home of Somali pirates.
tt5052474,gA0u3Iir0CU,"While Matt tries to escape to the border, Alejandro searches for Isabel."
tt5052474,xVWAp3OLYTM,Miguel is forced to assassinate a captured and hogtied Alejandro.
tt5052474,99wezqewopU,Border Patrol chases down a group of undocument immigrants attempting to cross the border and discover something unexpected.
tt5052474,uvZImlL51Io,Matt avenges the death of his friend Alejandro by murdering all those he believes responsible.
tt5052474,6hT5xOszncI,Alejandro and Matt lead a covert team posing as a rival cartel while kidnapping Isabel.
tt0112401,otlsrvaxpdE,Bain and Rath try to kill each other in a moving taxi.
tt0112401,Tpz4Dl8focY,"A figure from Rath's past appears, but will not let him get away alive."
tt0112401,infMR62l_dc,Bain uses ingenuity to escape from a moving cop car.
tt0112401,D0p6abBHjZU,Rath makes Bain wait all day to kill him to make him lose his cool.
tt0112401,6MaOE8YiJy8,"Rath and Bain try to kill each other, while Electra tries to stay alive."
tt0112401,pK35em6gl0Q,"After losing his patience waiting, Bain goes inside the bank for a chat with Rath."
tt0112401,wbROoMNi8Ho,"Bain threatens to kill Electra, but Rath has something to say about that."
tt0112401,FOXEyMTnekU,Rath meets Miguel Bain for the first time when he takes the hit that belonged to him.
tt0112401,howhfMAoEt0,Bain and Rath have one final confrontation to prove who is number one with a bullet.
tt0112401,TZXt5K8U_HM,"Bain finally gets a shot on Rath, but realizes that Rath is not working alone."
tt0111255,elR_OgHND1c,Ray plants a bomb to kill the first of Tomas' men.
tt0111255,RGaBXM3EHUo,Ray is surprised when he sees May alive at what was supposed to be her funeral.
tt0111255,B9SkWFyq-EQ,Ray fights to take back a woman's seat on the bus.
tt0111255,g4BV-MbeTjM,Ray spoils Ned's plan when he rigs a restaurant with explosives.
tt0111255,uraQr7J0Tlw,Ned threatens the Miami Bomb Squad by building a bomb of his own.
tt0111255,NqWsINBcm2o,"Ned listens in on Ray's phone call about the ad, but Ray knows he's there."
tt0111255,D6XNq3CrDBU,Ray plants a special bomb to take care of Tony.
tt0111255,PJ0NkZgbrUw,Ned walks right into Ray's trap as the building around them begins to self destruct.
tt0111255,HOePjj-M63Y,Ray rigs his hotel room with explosives when he learns that Ned is coming after him.
tt0111255,c82FD6lh2LQ,Ray has an explosive teacup delivered to Tomas.
tt2557478,lp1s4-tc2U0,"In Gipsey Avenger, Jake and Nate defend Sydney, Australia from Obsidian Fury, a rogue jaeger."
tt2557478,1qYVJgixc3U,"When kaijus attack, the jaegers of the Pan Pacific Defense Corps fly into action!"
tt2557478,E9pB6_WUR-U,Jake and Nate fight Obsidian Fury on thin ice and make a horrifying discovery.
tt2557478,O7jHiw8IyxQ,The scientists manage to save the Shatterdome just in the nick of time.
tt2557478,j66Fsl_q5Ig,"In Scrapper, Amara and Jake outrun November Ajax."
tt2557478,4KkCEjawUHM,Newton makes his monsters grow.
tt2557478,DtV4RnADOeA,The Mega-Kaiju slaughters its way through the PPDC.
tt2557478,U22aGOTlIy8,The PPDC drops Gipsey Avenger on the Mega-Kaiju.
tt2557478,836dGO4v65I,Kaiju-Jaeger hybrids attack the Shatterdome.
tt2557478,4sNyWmYN-rM,Jake does his best to get the cadets into the fighting spirit before they take to the skies.
tt3410834,t5GdZx7AS-E,"After shooting Four's mother, Evelyn, Peter releases the memory-erasing serum on the citizens of Chicago."
tt3410834,6O_dprt5rts,Tris and Christina use high-tech drones to fight their way into Evelyn's facility and reunite with Four.
tt3410834,pwSkfvXD_ug,Four participates in what he believes is a rescue mission into the unforgiving Fringe.
tt3410834,mmH76155CuU,"When Four gets news that he's not going to Chicago, he attacks the passengers and pilot of his hovercraft and brings it crashing down."
tt3410834,I9r1j1ZKBYk,Tris shares a message of determination with the newly liberated citizens of Chicago.
tt3410834,FlQd5p9_XvY,"Tris and her friends climb over the dividing wall and escape, but not before losing one of their own."
tt3410834,tlSscKeO9Cc,Tris steals David's hovercraft and makes a daring escape.
tt3410834,Q7--4JW6y6E,Tris and her friends are rescued in the nick of time when trying to escape Edgar.
tt3410834,Drt2w_iit1M,Evelyn tests a serum that wipes out people's entire memories.
tt3410834,Vn5WazNB5sU,Tris shuts off the release of the memory serum and defeats David.
tt0293815,oXGJeQDRuxE,Money Mike attempts to escape from Damon with the help Craig.
tt2531344,REWaiDiKDIE,"Mitchell bursts into Kayla's hotel room, throws her date against the wall, but then the error of his ways and reconciles with his daughter."
tt2531344,Qc-E0u_1Ei4,"Lisa, Mitchell, and Hunter try to run their daughters' limo off the road which leads to a barf chain reaction in the girls' limo."
tt2531344,QzcXi2irovs,"Lisa, Mitchell, and Hunter crash their daughters' prom to stop them from having sex."
tt2531344,V9RhgEHIxkI,"Lisa, Mitchell, and Hunter arrive at Austin's house to stop their daughters from having sex, but instead find Austin's parents acting on their prom night fantasies."
tt2531344,RgPuswoKZtw,"Julie, Kayla, and Sam tell each other about the results of their sex pact, and Sam comes out to them."
tt2531344,NizLAsFlvww,"Mitchell and Hunter break into Ron and Cathy's house to steal Ron's cell phone, but find themselves in the middle of one of their sex games."
tt2531344,x3OTeacsT84,"Hunter tells Sam that he wants to spend more time with her, and she tells him that she is a lesbian."
tt2531344,ZvGaiZMBOOI,Lisa has to escape the hotel room before her daughter has sex.
tt2531344,Eu1EfSDUKFg,"Lisa, Mitchell, and Hunter read their daughters' text messages, and find out that their emojis mean they're making a ""sex pact"" to lose their virginity tonight."
tt2531344,TfsGgp4go6k,"Mitchell is challenged to a chugging contest at a high school party, but this isn't your father's drinking contest."
tt0293815,A7a7RtpKzYY,Craig and Day-Day fight over Donna.
tt0293815,XUnfvueexSk,Craig and Day-Day find crime on the first day of their new job.
tt0293815,TRgkvisG4yg,Damon corners Money Mike in the bathroom and shows him how they flirt in prison.
tt0293815,D4E8UpMb8SI,Craig and Day-Day run into Damon on the way to work.
tt0293815,xNSWp7Hb5tU,Craig and Day-Day meet Money Mike.
tt3393786,nma6daFY6b0,Reacher finds himself being followed by a group of guys intent on hurting him real bad.
tt3393786,3Blk7Vo0abY,Two cops arrest Reacher in a diner only to find that he's not the one who should be wearing the cuffs.
tt3393786,mfCwgYR1yS8,Reacher finally has a showdown with the Hunter that threatened Samantha's life.
tt3393786,kjLqB63ihJE,Reacher escapes custody and saves Susan Turner from men sent to kill her.
tt3393786,6R3tTi_m8VQ,Reacher catches up to the Hunter who is holding Samantha at gunpoint.
tt3393786,jk2mjuWhQ_0,"Still wanted for murder, Reacher and Turner have one final chance to prove that Gen. Harkness is the real bad guy."
tt3393786,KkBUMdYMw-8,Reacher and Turner rush to the rescue of Lt. Espin after he gets caught in a shootout.
tt3393786,rrWLFKZafAc,"While on the run, Reacher and Turner decide to confront a dangerous looking man following them."
tt3393786,vYm_2A_cg0Y,Reacher spots two passengers that he thinks deserve some turbulence.
tt3393786,jF6JN1VSpmY,Reacher takes a break from his meal to say hi to two guys following him.
tt0790724,YkfEc-PYJ8A,"After screwing up, Linsky finally has to meet the mysterious man behind the killings, The Zec."
tt0790724,9g5pe-B6uL8,A mysterious man in a parking garage uses a sniper rifle to kill five innocent people.
tt0790724,PxuQ1n3xaRQ,Jack Reacher finally confronts Charlie and gets some revenge for all the people that had been killed.
tt0790724,nXrsB2RMo2w,"Before Reacher can ask gunstore owner Martin Cash about his customers, he has to first prove he can shoot."
tt0790724,mySMw3VkEBE,Reacher calls Helen only to find she's been captured by Charlie and his men.
tt0790724,cgLMSMIU124,Reacher gets attacked by two destructive idiots while investigating a missing suspect.
tt0790724,lfeYgfKa2cY,"Reacher finds himself framed and chased by the cops, only to literally run into the guys who set him up."
tt0790724,ILbn3iOiOiU,"Reacher, being chased by cops and bad guys, puts his faith into the local public's dislike of police to save him."
tt0790724,5U8scp5J9Is,Jeb Oliver and his friends attempt to take on Jack Reacher in a bar fight.
tt0790724,h8Rxb-9snJQ,Jack Reacher gets a provoking visit from a girl named Sandy and her fight happy friends.
tt0385307,hhmPqQpJWks,"Gracie offers to be the face of the FBI because she is an exemplary role model for women, but she runs into another agent with anger management issues."
tt0385307,FQH9s2dJe50,Gracie keeps her promise to help an elementary school girl with her school presentation.
tt0385307,1etjTR5wYhU,"Gracie Hart is recognized by a fan, which blows her undercover operation in a bank."
tt0385307,Hi93mYJyO8I,Gracie makes her debut on Regis Philbin's tv show and brings Fuller for a demonstration.
tt0385307,c0N60xOU9yk,Gracie goes undercover in an old folk's home to get information from Stan Fields' mother.
tt0385307,H6Y2GNQfNo4,"Gracie and Fuller try to clarify their working relationship, but it gets violent."
tt1055292,CaG_6UWfyLE,"The case worker drops by for a surprise visit, but Holly is drunk."
tt1055292,0SNckpLgK_Q,Holly and Messer have a big fight at Thanksgiving.
tt1055292,gvANfpQnohw,The case worker shows up at a really bad time again and they forget to hide the pot brownies.
tt1055292,_ICXfAWaISQ,Holly and Messer try to change the baby's diaper for the first time.
tt1055292,2DCjXk4qpLo,Holly ask Messer to show how he picks up women at the grocery store.
tt1055292,_O8yGbcFmc4,"After a romantic evening, Holly accidentally crashes Messer's motorcycle."
tt1322312,9QwQbE5Eu-I,"Erin and Garrett have phone sex, but the fantasy rapidly unravels."
tt1322312,FYZrWswLpu0,"Garrett has a private talk with Erin's protective sister, Corinne."
tt1322312,yceziOf95-0,Garrett and Erin have some really bad wine at an Italian restaurant.
tt1322312,3QoYCS0iOq4,Erin and Garrett say goodbye at the airport.
tt1322312,WEvTEdLLa2s,Erin and Garrett have dinner with some married couples.
tt1322312,9Ro2O9YAkAo,Box explains how his mustache helps him pick up women in a specific age group.
tt1322312,dJhNjpuc9eo,"Corinne explains how she and Phil like to dry hump, but she makes Erin worry about her long distance relationship."
tt0419843,Hj7OFElSIlM,Sarah shares with Carter how she feels she is exactly where she is supposed to be.
tt0419843,XSX3JKL0DpU,"Carter meets Eric, a guy who has a huge crush on Lucy, in the mall bathroom."
tt0419843,Rf161T4RyxA,Sarah opens up to Carter that she has breast cancer and they share a passionate kiss.
tt0419843,GwtcfnmV68I,Carter moves in with his grandma Phyllis.
tt0419843,l17e0M4TTBA,"Sarah takes Carter to her special place, where she reveals that her husband is having an affair."
tt0419843,8ZSuFOPBDmI,Lucy shares a humiliating story with Carter and he encourages her not to be angry at her sick mother any more.
tt0419843,JhMO7RA7-VI,Lucy decides to forgive her mother and work on the next phase of their relationship.
tt0419843,WCM5kknf5nI,Sarah and Carter go for a walk around their suburban neighborhood.
tt0419843,F8q-K4BTbEk,"At the mall, Carter asks Lucy about the suburban scene and the average high school experience."
tt1340138,AEBd24_Uxfk,T-1000 chases Kyle Reese through a shopping mall until an unexpected savior shows up.
tt1340138,wXLFg03in2U,John Connor and Pops finally go head to head as the fight to stop Genisys comes to an end.
tt1340138,5Le4OlAvuME,"After saving Sarah and Kyle Reese, John Connor reveals the truth of his origins to them."
tt1340138,XGoagkYcJ38,Pops sacrifices himself by holding off John Connor while Kyle Reese and Sarah escape.
tt1340138,LTfMvliqiGk,Sarah is forced to make a tough decision before she can take out the T-1000.
tt1340138,y5vxDOma1Ok,The new and improved John Connor goes after Kyle Reese and Sarah after his identity is revealed.
tt1340138,NBYfDP0IO18,"Pops, Kyle Reese, and Sarah are chased by John Connor."
tt1340138,RtxMw4sua3Q,Sarah and the group take to the skies to take on John Connor.
tt1340138,C9rUREflwDI,Kyle Reese faces off against the original T-800.
tt1340138,UZnkAElIe_c,Pops goes up against the original T-800 model in a new timeline.
tt0090859,EdiZzm9bA2I,"Detective Monte reluctantly congratulates Cobra on a job well done, but Cobra has one more surprise in store."
tt0090859,pdwGNiv2q4U,"Captain Sears assigns the Night Slasher case to Cobra, who gives Gonzales some dietary advice."
tt0090859,Ycv2RoyxW1w,Ingrid narrowly survives an attack by the Night Slasher.
tt0090859,o6sD0PvhkWc,Cobra fends off an onslaught of psychopaths as they descend upon a motel to kill Ingrid.
tt0090859,99ziSsaLUpU,Cobra protects Ingrid with his defensive driving skills in a furious car chase throughout Los Angeles.
tt0090859,Vbj9JcYGo_w,Cobra faces off against Night Slasher in an abandoned factory.
tt0090859,F_cS_kmSiRY,Cobra inflitrates a supermarket to free some hostages and put away a psycho.
tt0090859,UqPsrqpwLmU,Ingrid drives while Cobra lays waste to a swarm of motorcycle-riding murderers.
tt0090859,q1bV-D8cSz8,Cobra fights off some assailants at his apartment as the Night Slasher prepares to make his move at the hospital.
tt0090859,VqL0Mr9uNL8,Cobra races to the hospital as the Night Slasher pursues Ingrid.
tt1469304,dZjgSYTxWsY,"Brody, Mitch, and Summer are arrested and scolded by actual cop Sgt. Ellerbee after an illegal investigation."
tt1469304,x35VnGsGrFc,Mitch chases after Victoria's henchman Frankie and take back the evidence the man stole from him.
tt1469304,Wd5RTjtSSxk,Mitch and Brody go undercover to infiltrate Victoria's secret operation.
tt1469304,axhUtepWokA,"While Ronnie distracts Victoria, the rest of the Baywatch crew investigates a drug operation."
tt1469304,WDuIl_uPY_s,Mitch challenges Brody to a strong man contest before he can join the squad.
tt1469304,CDTnjLPgMKM,Ronnie gets a little too excited after seeing CJ fresh out of the water.
tt1469304,FFvaLp9s1p0,"Brody, Mitch, and Summer hide in a morgue while a pair of thugs hide evidence from a murder case."
tt1469304,QlDqtuo10fA,The Baywatch squad finally corner Victoria as she is about to escape.
tt1469304,HfgFZz6gCOM,"After saving the beach, the Baywatch crew settles in for the first time as a real time."
tt1469304,N_qIfvDbZjc,"Fired from the job he loves, Mitch gets inspiration from his old mentor."
tt0095188,wka4snE-AmU,"Andy uses a huge boulder to stop the speeding mailman, but he ends up ruining his publisher's car."
tt0095188,dqfoyAnszH0,"Andy goes fishing with some locals, but makes enemies instead of friends."
tt0095188,oo5SkNM3c1Y,Elizabeth shares her squirrel story with Andy and he realizes it is based on himself.
tt0095188,vIgFGJRGlkk,"Andy Farmer tries to call the Sheriff about a coffin in the garden, but the operators are not obliging."
tt0095188,mxnq8jkwttE,Elizabeth tells Andy that his novel really stinks.
tt0095188,QNUbwijCKfw,"Andy loves the ""lamb fries"" at the local diner and breaks the record for eating them."
tt0095188,gMCgkXpEOIY,Andy tries to sell the farm with a little help from the townsfolk he hired.
tt4881806,s-vP7WgMkpA,"As a volcano erupts on the island, Claire and Franklin are attacked by a carnotaurus. Thankfully, Rexy intervenes."
tt4881806,hAf3IBKWubo,A team sent to get a Indominus Rex rib runs into more than they bargained for.
tt4881806,an9Zfn3IZCY,Mills tries to escape with the Indominus Rib and Owen has to say a final goodbye to Blue.
tt4881806,CkAf_qzHNwo,Wheatley tries to get teeth from the wrong dinosaur.
tt4881806,NFj82X1Fdh4,Dr. Ian Maclcolm talks to the U.S. Senate about the new age brought upon by bringing Dinosaurs back into the world.
tt4881806,xgX9WrVFO0Q,"Claire, Owen, and Franklin outrace the erupting volcano. They view the tragic sight of a Brachiosaurus getting caught in the destruction of the island."
tt4881806,EQWtaLTOwCw,"Owen, Claire, Maisie, and Blue confront the Indoraptor."
tt4881806,jwnPI-d36vU,"Owen tracks down Blue, but so do Wheatley's men."
tt4881806,XUSzvNtSsFE,Owen and Claire try to get T-Rex blood for a transfusion.
tt4881806,BfRUV4g8sYw,"Franklin inadvertently allows a Baryonyx into their facility, along with lava."
tt1179933,4UzVKW_Iqi0,"Michelle makes a break for the airlock, only to have a terrifying surprise."
tt1179933,DJTF3NmqF7U,Howard confronts his captives about their absconded supplies.
tt1179933,Mc_zp1s60NY,"Howard, shows Michelle what's happened outside."
tt1179933,bMjYOV8VnYk,Michelle escapes from the burning bunker.
tt1179933,lLeY8-bhEuQ,"Michelle uses her creativity to craft a Molotov cocktail, just in time to take down the living alien ship."
tt1179933,jypAc6XYFfA,Howard breaks down the situation for Michelle.
tt1179933,UglfLjHUNbU,Michelle flees from Howard.
tt1179933,iQJh6I8kH_E,Michelle launches an escape attempt.
tt1179933,pl7JzW6eGZg,Michelle hides in a barn from an alien stalker.
